#{"t_start": 1732903276.4909563, "env_id": null}
r,l,t
65200,15950,946.294595
33200,16464,1405.688573
25300,12596,1744.63679
27500,15316,2191.194336
32900,10673,2476.182539
8900,9958,2763.770898
3000,6719,2881.214535
3500,6007,3091.339854
2700,6052,3213.820575
8000,7250,3430.068436
4200,7530,3636.66773
11600,11863,3937.214666
7400,7723,4137.569622
5800,7239,4340.208994
6000,7447,4546.869558
11900,11309,4878.312356
3800,8157,5082.263047
4800,6866,5307.504155
3700,7102,5524.183152
5800,6992,5765.998971
36500,16382,6271.929142
2000,7657,6512.667044
3300,7384,6736.744319
2500,7911,6963.045849
2500,6109,7169.352021
3300,6665,7288.008284
